name,studio,theme,tags,source,rating,year,demographic,status,eps,eps_avg_duration_in_min,rated_by
Kujira no Kora wa Sajou ni Utau,J.C.Staff,Super Power,"Drama, Fantasy, Mystery",Manga,7.17,2017,Shoujo,Finished,12.0,23.0,210000
Kareshi Kanojo no Jijou,Gainax,School,"Comedy, Drama, Romance, Slice, of, Life",Manga,7.6,1998,Shoujo,Finished,26.0,24.0,208000
Shugo Chara!,Satelight,"Mahou Shoujo, School",Comedy,Manga,7.4,2007,Shoujo,Finished,51.0,24.0,206000
Arcana Famiglia,J.C.Staff,Reverse Harem,"Action, Fantasy, Romance",Visual novel,6.26,2012,Shoujo,Finished,12.0,24.0,196000
Shoujo Kakumei Utena,J.C.Staff,"Mahou Shoujo, Psychological","Comedy, Drama, Fantasy, Mystery",Original,8.19,1997,Shoujo,Finished,39.0,23.0,194000
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X,SILVER LINK.,"Reincarnation, Reverse Harem, School","Comedy, Drama, Fantasy, Romance",Light novel,7.25,2021,Shoujo,Finished,12.0,23.0,191000
Uta no☆Prince-sama♪ Maji Love 1000%,A-1 Pictures,"Idols (Male), Music, Reverse Harem, School","Comedy, Romance",Visual novel,7.04,2011,Shoujo,Finished,13.0,25.0,189000
D.N.Angel,Xebec,School,"Action, Comedy, Fantasy, Romance",Manga,7.17,2003,Shoujo,Finished,26.0,23.0,179000
Brothers Conflict,Brain's Base,Reverse Harem,Romance,Novel,5.98,2013,Shoujo,Finished,12.0,24.0,172000
Natsume Yuujinchou Roku,Shuka,"Iyashikei, Mythology","Drama, Slice, of, Life, Supernatural",Manga,8.63,2017,Shoujo,Finished,11.0,23.0,168000
Natsume Yuujinchou Go,Shuka,"Iyashikei, Mythology","Drama, Slice, of, Life, Supernatural",Manga,8.58,2016,Shoujo,Finished,11.0,23.0,167000
3D Kanojo: Real Girl 2nd Season,Hoods Entertainment,School,Romance,Manga,7.67,2019,Shoujo,Finished,12.0,22.0,164000
Yamato Nadeshiko Shichihenge♥,Nippon Animation,Reverse Harem,Comedy,Manga,7.73,2006,Shoujo,Finished,25.0,24.0,151000
Sabage-bu!,Pierrot Plus,Shoujo,"Action, Comedy",Manga,7.35,2014,Shoujo,Finished,12.0,23.0,145000
Bishoujo Senshi Sailor Moon R,Toei Animation,"Mahou Shoujo, Mythology",Romance,Manga,7.71,1993,Shoujo,Finished,43.0,24.0,145000
"Diabolik Lovers More,Blood",Zexcs,"Reverse Harem, School, Vampire",None,Visual novel,5.54,2015,Shoujo,Finished,12.0,12.0,141000
Tokyo Mew Mew,Pierrot,Mahou Shoujo,"Comedy, Fantasy, Romance, Sci-Fi",Manga,7.05,2002,Shoujo,Finished,52.0,24.0,141000
