name,studio,theme,tags,source,rating,year,demographic,status,eps,eps_avg_duration_in_min,rated_by
Hug tto! Precure,Toei Animation,Mahou Shoujo,"Action, Fantasy",Original,7.8,2018,Shoujo,Finished,49.0,24.0,14000
Akazukin Chacha,Gallop,Shoujo,"Adventure, Comedy, Fantasy, Romance",Manga,7.42,1994,Shoujo,Finished,74.0,24.0,14000
Puchi Pri*Yucie,AIC,Shoujo,"Comedy, Fantasy",Original,7.43,2002,Shoujo,Finished,26.0,25.0,14000
B-Project: Zecchou*Emotion,Bandai Namco Pictures,Music,None,Mixed media,6.71,2019,Shoujo,Finished,12.0,24.0,14000
Clamp Gakuen Tanteidan,Pierrot,Shoujo,"Action, Comedy, Mystery",Manga,6.87,1997,Shoujo,Finished,26.0,24.0,13000
Mahou no Tenshi Creamy Mami,Pierrot,"Idols (Female), Mahou Shoujo, School","Comedy, Fantasy, Romance, Sci-Fi",Original,7.24,1983,Shoujo,Finished,52.0,24.0,13000
Kaikan Phrase,Studio Hibari,"Music, Showbiz","Drama, Romance",Manga,7.35,1999,Shoujo,Finished,44.0,24.0,13000
Ginyuu Mokushiroku Meine Liebe,Bee Train,Shoujo,Fantasy,Visual novel,6.44,2004,Shoujo,Finished,13.0,24.0,12000
Pretty Rhythm: Rainbow Live,Dongwoo A&E,"Idols (Female), Music","Slice, of, Life, Sports",Game,7.55,2013,Shoujo,Finished,51.0,21.0,12000
Futari wa Precure: Splash☆Star,Toei Animation,Mahou Shoujo,"Action, Comedy, Fantasy",Original,7.19,2006,Shoujo,Finished,49.0,24.0,12000
Mahoutsukai Precure!,Toei Animation,"Mahou Shoujo, School","Action, Fantasy, Slice, of, Life",Original,7.22,2016,Shoujo,Finished,50.0,24.0,12000
Ace wo Nerae!,Madhouse,School,"Drama, Romance, Sports",Manga,7.07,1973,Shoujo,Finished,26.0,24.0,12000
Legend of Basara,KSS,Shoujo,"Adventure, Drama, Romance",Manga,7.28,1998,Shoujo,Finished,13.0,24.0,12000
Jewelpet,Studio Comet,Anthropomorphic,Fantasy,Original,6.78,2009,Shoujo,Finished,52.0,23.0,11000
Koisuru Tenshi Angelique: Kokoro no Mezameru Toki,Satelight,Reverse Harem,"Adventure, Comedy, Drama, Fantasy, Romance, Sci-Fi",Game,6.84,2006,Shoujo,Finished,13.0,23.0,11000
Chibi Maruko-chan,Nippon Animation,Shoujo,"Comedy, Slice, of, Life",Manga,7.6,1990,Shoujo,Finished,142.0,24.0,11000
Mahou no Stage Fancy Lala,Pierrot,"Idols (Female), Mahou Shoujo, Music","Comedy, Drama, Romance",Original,7.15,1998,Shoujo,Finished,26.0,24.0,11000
Fushigiboshi no☆Futagohime,Hal Film Maker,Shoujo,Comedy,Original,7.31,2005,Shoujo,Finished,51.0,24.0,11000
Jewelpet Twinkle☆,Studio Comet,"Anthropomorphic, School",Fantasy,Original,7.43,2010,Shoujo,Finished,52.0,24.0,11000
Kirakira☆Precure A La Mode,Toei Animation,Mahou Shoujo,"Action, Fantasy, Gourmet, Slice, of, Life",Original,7.07,2017,Shoujo,Finished,49.0,24.0,11000
Aikatsu Friends!,Bandai Namco Pictures,"Idols (Female), Music, School","Slice, of, Life",Game,7.19,2018,Shoujo,Finished,50.0,24.0,11000
Happiness Charge Precure!,Toei Animation,Mahou Shoujo,"Action, Fantasy",Original,6.81,2014,Shoujo,Finished,49.0,24.0,11000
Koisuru Tenshi Angelique: Kagayaki no Ashita,Satelight,Reverse Harem,"Drama, Fantasy, Romance",Game,6.93,2007,Shoujo,Finished,12.0,24.0,10000
Igano Kabamaru,Group TAC,School,"Action, Adventure, Comedy, Romance",Manga,7.83,1983,Shoujo,Finished,24.0,23.0,10000
Lady Jewelpet,Studio Comet,Shoujo,"Fantasy, Romance",Original,7.46,2014,Shoujo,Finished,52.0,25.0,10000
Usagi Drop,Production I.G,"Childcare, Iyashikei","Slice, of, Life",Manga,8.38,2011,Josei,Finished,11.0,22.0,461000
Chihayafuru,Madhouse,"Love Polygon, School, Strategy Game","Drama, Slice, of, Life, Sports",Manga,8.19,2011,Josei,Finished,25.0,22.0,423000
Sakamichi no Apollon,MAPPA,"Love Polygon, Music, School","Drama, Romance",Manga,8.32,2012,Josei,Finished,12.0,22.0,352000
Nodame Cantabile,J.C.Staff,"Adult Cast, Music","Comedy, Drama, Romance, Slice, of, Life",Manga,8.28,2007,Josei,Finished,23.0,22.0,297000
Shouwa Genroku Rakugo Shinjuu,Studio Deen,"Historical, Love Polygon, Performing Arts",Drama,Manga,8.58,2016,Josei,Finished,13.0,26.0,270000
Servamp,Brain's Base,Vampire,"Action, Comedy, Drama, Supernatural",Manga,6.89,2016,Josei,Finished,12.0,24.0,258000
Hachimitsu to Clover,J.C.Staff,"Love Polygon, Visual Arts","Comedy, Drama, Romance, Slice, of, Life",Manga,8.01,2005,Josei,Finished,24.0,23.0,250000
Chihayafuru 2,Madhouse,"Love Polygon, School, Strategy Game","Drama, Slice, of, Life, Sports",Manga,8.39,2013,Josei,Finished,25.0,22.0,218000
Kuragehime,Brain's Base,"Crossdressing, Visual Arts","Comedy, Slice, of, Life",Manga,8.12,2010,Josei,Finished,11.0,22.0,217000
Karneval (TV),Manglobe,Josei,"Action, Fantasy, Mystery, Sci-Fi",Manga,7.1,2013,Josei,Finished,13.0,24.0,205000
07-Ghost,Studio Deen,"Military, Mythology","Action, Fantasy",Manga,7.2,2009,Josei,Finished,25.0,23.0,203000
Paradise Kiss,Madhouse,Visual Arts,"Comedy, Drama, Romance, Slice, of, Life",Manga,7.85,2005,Josei,Finished,12.0,24.0,199000
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,Studio Deen,"Adult Cast, Historical, Love Polygon, Performing Arts",Drama,Manga,8.74,2017,Josei,Finished,12.0,24.0,173000
Hakuouki,Studio Deen,"Historical, Samurai","Action, Drama, Supernatural",Visual novel,7.38,2010,Josei,Finished,12.0,23.0,160000
Akkun to Kanojo,Yumeta Company,School,"Comedy, Romance",Manga,6.84,2018,Josei,Finished,25.0,3.0,158000
Loveless,J.C.Staff,Josei,"Action, Boys, Love, Drama, Fantasy, Mystery, Romance, Supernatural",Manga,6.78,2005,Josei,Finished,12.0,24.0,135000
Koroshi Ai,Platinum Vision,"Adult Cast, Organized Crime","Action, Romance",Manga,6.9,2022,Josei,Finished,12.0,23.0,130000
Chihayafuru 3,Madhouse,"Love Polygon, School, Strategy Game","Drama, Slice, of, Life, Sports",Manga,8.47,2019,Josei,Finished,24.0,22.0,123000
Nodame Cantabile: Finale,J.C.Staff,"Adult Cast, Music","Comedy, Romance",Manga,8.24,2010,Josei,Finished,11.0,22.0,122000
Nodame Cantabile: Paris-hen,J.C.Staff,"Adult Cast, Music","Comedy, Romance, Slice, of, Life",Manga,8.14,2008,Josei,Finished,11.0,23.0,118000
Makai Ouji: Devils and Realist,Doga Kobo,"Historical, Mythology, School","Comedy, Fantasy, Mystery, Supernatural",Manga,7.02,2013,Josei,Finished,12.0,24.0,110000
Orenchi no Furo Jijou,Asahi Production,Josei,"Comedy, Fantasy",4-koma manga,6.97,2014,Josei,Finished,13.0,4.0,105000
Hachimitsu to Clover II,J.C.Staff,"Love Polygon, Visual Arts","Drama, Romance, Slice, of, Life",Manga,8.22,2006,Josei,Finished,12.0,23.0,101000
Shirokuma Cafe,Pierrot,"Anthropomorphic, Gag Humor, Iyashikei, Workplace","Comedy, Slice, of, Life",Manga,7.91,2012,Josei,Finished,50.0,24.0,88000
Norn9: Norn+Nonet,Kinema Citrus,Josei,"Adventure, Fantasy, Romance, Sci-Fi",Visual novel,6.56,2016,Josei,Finished,12.0,24.0,84000
Hakuouki: Hekketsuroku,Studio Deen,"Historical, Samurai","Action, Drama, Supernatural",Visual novel,7.58,2010,Josei,Finished,10.0,24.0,82000
Natsuyuki Rendezvous,Doga Kobo,Adult Cast,"Drama, Romance, Supernatural",Manga,7.27,2012,Josei,Finished,11.0,23.0,78000
Code:Realize - Sousei no Himegimi,M.S.C,"Historical, Reverse Harem","Fantasy, Romance",Visual novel,6.66,2017,Josei,Finished,12.0,23.0,77000
Petshop of Horrors,Madhouse,Josei,"Horror, Mystery, Supernatural",Manga,7.24,1999,Josei,Finished,4.0,23.0,62000
Hakuouki: Reimeiroku,Studio Deen,"Historical, Samurai","Action, Drama, Supernatural",Visual novel,7.44,2012,Josei,Finished,12.0,23.0,55000
Boku no Tonari ni Ankoku Hakaishin ga Imasu.,EMT Squared,School,"Comedy, Slice, of, Life",Manga,6.66,2020,Josei,Finished,12.0,23.0,54000
Ristorante Paradiso,David Production,Workplace,"Drama, Gourmet, Romance, Slice, of, Life",Manga,7.33,2009,Josei,Finished,11.0,22.0,43000
Gokusen,Madhouse,"Delinquents, Organized Crime, School, Workplace","Comedy, Drama, Slice, of, Life",Manga,7.41,2004,Josei,Finished,13.0,23.0,42000
Jingai-san no Yome,Saetta,Josei,"Comedy, Fantasy, Romance",4-koma manga,5.77,2018,Josei,Finished,12.0,3.0,41000
Saiyuuki Reload Blast,Platinum Vision,Mythology,"Action, Adventure, Comedy, Drama, Supernatural",Manga,7.21,2017,Josei,Finished,12.0,23.0,38000
Nil Admirari no Tenbin,Zero-G,"Historical, Reverse Harem","Fantasy, Romance",Visual novel,6.65,2018,Josei,Finished,12.0,23.0,37000
Hatenkou Yuugi,Studio Deen,Josei,"Adventure, Comedy, Drama, Fantasy, Romance",Manga,7.12,2008,Josei,Finished,10.0,24.0,36000
Saiyuuki Reload,Pierrot,Mythology,"Action, Adventure, Comedy, Drama, Supernatural",Manga,7.38,2003,Josei,Finished,25.0,23.0,33000
Super Seisyun Brothers,AIC PLUS+,Josei,"Comedy, Slice, of, Life",Web manga,6.73,2013,Josei,Finished,14.0,4.0,31000
Strange+,Seven,Josei,"Comedy, Slice, of, Life",Manga,5.98,2014,Josei,Finished,12.0,3.0,31000
Chouyaku Hyakuninisshu: Uta Koi.,TYO Animations,Historical,"Comedy, Romance",Manga,7.46,2012,Josei,Finished,13.0,24.0,28000
Saiyuuki Reload Gunlock,Pierrot,Mythology,"Action, Adventure, Comedy, Drama, Supernatural",Manga,7.39,2004,Josei,Finished,26.0,24.0,22000
Try Knights,Gonzo,"School, Team Sports",Sports,Manga,4.71,2019,Josei,Finished,12.0,22.0,18000
Kami Kuzu☆Idol,Studio Gokumi,"Idols (Female), Idols (Male), Music","Comedy, Supernatural",Manga,6.8,2022,Josei,Finished,10.0,23.0,16000
Shin Strange+,Seven,Josei,"Comedy, Slice, of, Life",Manga,6.22,2014,Josei,Finished,12.0,3.0,14000
Saiyuuki Reload: Zeroin,LIDENFILMS,Mythology,"Action, Adventure, Comedy, Drama, Supernatural",Manga,6.59,2022,Josei,Finished,13.0,23.0,11000
Pokemon,OLM,Kids,"Action, Adventure, Comedy, Fantasy",Game,7.36,1997,Kids,Finished,276.0,24.0,578000
Digimon Adventure,Toei Animation,Isekai,"Action, Adventure, Comedy, Fantasy",Other,7.77,1999,Kids,Finished,54.0,24.0,376000
Digimon Adventure 02,Toei Animation,Isekai,"Action, Adventure, Comedy, Drama, Fantasy",Original,7.23,2000,Kids,Finished,50.0,25.0,211000
Pokemon Advanced Generation,OLM,Kids,"Action, Adventure, Comedy, Fantasy",Game,7.1,2002,Kids,Finished,192.0,24.0,174000
Pokemon XY,OLM,Kids,"Action, Adventure, Comedy, Fantasy",Game,7.34,2013,Kids,Finished,93.0,23.0,150000
Pokemon Diamond & Pearl,OLM,Kids,"Action, Adventure, Comedy, Fantasy",Game,7.24,2006,Kids,Finished,191.0,23.0,131000
Pokemon XY&Z,OLM,Kids,"Action, Adventure, Comedy, Fantasy",Game,7.68,2015,Kids,Finished,47.0,23.0,122000
Bakuten Shoot Beyblade,Madhouse,Kids,"Action, Adventure, Comedy, Sports",Manga,6.75,2001,Kids,Finished,51.0,23.0,104000
Pokemon Sun & Moon,OLM,"School, Strategy Game","Action, Fantasy",Game,6.83,2016,Kids,Finished,146.0,24.0,97000
Pokemon Best Wishes!,OLM,Kids,"Action, Adventure, Comedy, Fantasy",Game,6.39,2010,Kids,Finished,84.0,22.0,92000
Metal Fight Beyblade,Tatsunoko Production,Kids,"Adventure, Comedy, Sports",Manga,6.84,2009,Kids,Finished,51.0,25.0,82000
Pokemon (2019),OLM,Kids,"Action, Adventure, Comedy, Fantasy",Game,7.2,2019,Kids,Airing,13.0,23.0,67000
Bananya,Gathering,Kids,"Comedy, Slice, of, Life",Original,6.75,2016,Kids,Finished,13.0,3.0,66000
Pokemon Best Wishes! Season 2,OLM,Kids,"Action, Adventure, Comedy, Fantasy",Game,6.41,2012,Kids,Finished,24.0,22.0,62000
Tottoko Hamtarou,TMS Entertainment,Anthropomorphic,"Adventure, Comedy",Manga,6.98,2000,Kids,Finished,296.0,25.0,55000
Digimon Adventure:,Toei Animation,Kids,"Action, Adventure, Comedy, Fantasy",Other,6.4,2020,Kids,Finished,67.0,23.0,52000
Metal Fight Beyblade: Baku,SynergySP,Kids,"Adventure, Comedy, Sports",Manga,6.92,2010,Kids,Finished,51.0,25.0,46000
Pokemon Best Wishes! Season 2: Episode N,OLM,Kids,"Action, Adventure, Comedy, Fantasy",Game,6.65,2013,Kids,Finished,14.0,22.0,42000
Metal Fight Beyblade 4D,SynergySP,Kids,"Adventure, Sports",Manga,6.94,2011,Kids,Finished,52.0,24.0,41000
Pingu in the City,DandeLion Animation Studio,Kids,"Comedy, Slice, of, Life",Other,6.52,2017,Kids,Finished,26.0,7.0,41000
Pokemon Best Wishes! Season 2: Decolora Adventure,OLM,Kids,"Action, Adventure, Comedy, Fantasy",Game,6.27,2013,Kids,Finished,20.0,22.0,39000
Pokemon Housoukyoku,OLM,Kids,"Adventure, Comedy, Fantasy",Game,6.86,2002,Kids,Finished,16.0,20.0,29000
Youkai Watch,OLM,Mythology,"Comedy, Supernatural",Game,6.54,2014,Kids,Finished,214.0,23.0,28000
Deltora Quest,OLM,Kids,"Adventure, Fantasy",Book,7.05,2007,Kids,Finished,65.0,25.0,27000
Beyblade Burst,OLM,Kids,"Action, Adventure, Sci-Fi, Sports",Manga,6.46,2016,Kids,Finished,51.0,24.0,27000
Tanoshii Muumin Ikka,Telescreen,Iyashikei,"Adventure, Comedy, Fantasy, Slice, of, Life",Book,8.2,1990,Kids,Finished,78.0,24.0,23000
Kodai Ouja Kyouryuu King,Sunrise,Kids,"Adventure, Fantasy",Game,6.3,2007,Kids,Finished,49.0,25.0,23000
Duel Masters,A.C.G.T.,Strategy Game,"Action, Comedy, Fantasy",Manga,5.84,2002,Kids,Finished,26.0,21.0,22000
Layton Mystery Tanteisha: Katri no Nazotoki File,LIDENFILMS,Kids,"Comedy, Mystery",Game,7.25,2018,Kids,Finished,50.0,23.0,16000
Kaidan Restaurant,Toei Animation,Kids,"Horror, Mystery, Supernatural",Picture book,7.25,2009,Kids,Finished,23.0,19.0,15000
Beyblade Burst God,OLM,Kids,"Action, Adventure, Sci-Fi, Sports",Manga,6.93,2017,Kids,Finished,51.0,24.0,14000
Ie Naki Ko,Madhouse,Historical,"Adventure, Drama, Slice, of, Life",Novel,7.83,1977,Kids,Finished,51.0,24.0,14000
Bananya: Fushigi na Nakama-tachi,Gathering,Kids,"Comedy, Slice, of, Life",Original,6.63,2019,Kids,Finished,13.0,2.0,14000
Digimon Universe: Appli Monsters,Production GoodBook,Kids,"Action, Adventure, Comedy, Fantasy, Sci-Fi",Original,6.58,2016,Kids,Finished,52.0,24.0,14000
Metal Fight Beyblade Zero G,SynergySP,Kids,"Adventure, Sports",Manga,6.02,2012,Kids,Finished,38.0,12.0,14000
Kaitou Joker,Shin-Ei Animation,Kids,"Adventure, Comedy, Mystery",Manga,6.92,2014,Kids,Finished,13.0,24.0,13000
Pui Pui Molcar,Shin-Ei Animation,"Anthropomorphic, Racing",Comedy,Other,8.01,2021,Kids,Finished,12.0,2.0,13000
B-Legend! Battle B-Daman,Nippon Animation,Strategy Game,"Adventure, Fantasy",Manga,6.28,2004,Kids,Finished,52.0,22.0,13000
Beyblade Burst Chouzetsu,OLM,Kids,"Action, Adventure, Sci-Fi, Sports",Manga,6.45,2018,Kids,Finished,51.0,24.0,12000
Gudetama,Gathering,Kids,"Comedy, Gourmet",Original,7.03,2014,Kids,Airing,13.0,1.0,11000
Furusato Saisei: Nippon no Mukashibanashi,Tomason,Historical,Supernatural,Other,6.97,2012,Kids,Finished,258.0,24.0,10000
Bakusou Kyoudai Let's & Go,Xebec,Racing,Adventure,Manga,6.83,1996,Kids,Finished,51.0,25.0,10000
